GEO_ID,NAME,S2301_C01_001E
51001,"Accomack County, Virginia",26638
51003,"Albemarle County, Virginia",87026
51005,"Alleghany County, Virginia",12824
51007,"Amelia County, Virginia",10402
51009,"Amherst County, Virginia",26359
51011,"Appomattox County, Virginia",12591
51013,"Arlington County, Virginia",194843
51015,"Augusta County, Virginia",61981
51017,"Bath County, Virginia",3751
51019,"Bedford County, Virginia",64309
51021,"Bland County, Virginia",5560
51023,"Botetourt County, Virginia",27518
51025,"Brunswick County, Virginia",14188
51027,"Buchanan County, Virginia",18606
51029,"Buckingham County, Virginia",14167
51031,"Campbell County, Virginia",45515
51033,"Caroline County, Virginia",23925
51035,"Carroll County, Virginia",24690
51036,"Charles City County, Virginia",6031
51037,"Charlotte County, Virginia",9838
51041,"Chesterfield County, Virginia",267979
51043,"Clarke County, Virginia",11814
51045,"Craig County, Virginia",4302
51047,"Culpeper County, Virginia",39180
51049,"Cumberland County, Virginia",8139
51051,"Dickenson County, Virginia",12373
51053,"Dinwiddie County, Virginia",23159
51057,"Essex County, Virginia",9027
51059,"Fairfax County, Virginia",902918
51061,"Fauquier County, Virginia",54822
51063,"Floyd County, Virginia",12931
51065,"Fluvanna County, Virginia",21630
51067,"Franklin County, Virginia",46758
51069,"Frederick County, Virginia",67840
51071,"Giles County, Virginia",13698
51073,"Gloucester County, Virginia",30749
51075,"Goochland County, Virginia",18850
51077,"Grayson County, Virginia",13407
51079,"Greene County, Virginia",15221
51081,"Greensville County, Virginia",9925
51083,"Halifax County, Virginia",28516
51085,"Hanover County, Virginia",84111
51087,"Henrico County, Virginia",259041
51089,"Henry County, Virginia",42689
51091,"Highland County, Virginia",1943
51093,"Isle of Wight County, Virginia",29672
51095,"James City County, Virginia",60977
51097,"King and Queen County, Virginia",5878
51099,"King George County, Virginia",20090
51101,"King William County, Virginia",13130
51103,"Lancaster County, Virginia",9399
51105,"Lee County, Virginia",20152
51107,"Loudoun County, Virginia",286061
51109,"Louisa County, Virginia",28813
51111,"Lunenburg County, Virginia",10138
51113,"Madison County, Virginia",10689
51115,"Mathews County, Virginia",7686
51117,"Mecklenburg County, Virginia",25745
51119,"Middlesex County, Virginia",9210
51121,"Montgomery County, Virginia",84509
51125,"Nelson County, Virginia",12351
51127,"New Kent County, Virginia",17152
51131,"Northampton County, Virginia",9813
51133,"Northumberland County, Virginia",10593
51135,"Nottoway County, Virginia",12832
51137,"Orange County, Virginia",28672
51139,"Page County, Virginia",19476
51141,"Patrick County, Virginia",15166
51143,"Pittsylvania County, Virginia",51197
51145,"Powhatan County, Virginia",24180
51147,"Prince Edward County, Virginia",19661
51149,"Prince George County, Virginia",30671
51153,"Prince William County, Virginia",344952
51155,"Pulaski County, Virginia",28913
51157,"Rappahannock County, Virginia",6238
51159,"Richmond County, Virginia",7473
51161,"Roanoke County, Virginia",77007
51163,"Rockbridge County, Virginia",19017
51165,"Rockingham County, Virginia",63966
51167,"Russell County, Virginia",22909
51169,"Scott County, Virginia",18374
51171,"Shenandoah County, Virginia",34898
51173,"Smyth County, Virginia",25823
51175,"Southampton County, Virginia",14906
51177,"Spotsylvania County, Virginia",102321
51179,"Stafford County, Virginia",110583
51181,"Surry County, Virginia",5559
51183,"Sussex County, Virginia",9958
51185,"Tazewell County, Virginia",34971
51187,"Warren County, Virginia",31872
51191,"Washington County, Virginia",45616
51193,"Westmoreland County, Virginia",14616
51195,"Wise County, Virginia",32156
51197,"Wythe County, Virginia",23918
51199,"York County, Virginia",53188
51510,"Alexandria city, Virginia",130057
51520,"Bristol city, Virginia",13734
51530,"Buena Vista city, Virginia",5262
51540,"Charlottesville city, Virginia",40493
51550,"Chesapeake city, Virginia",186848
51570,"Colonial Heights city, Virginia",13923
51580,"Covington city, Virginia",4601
51590,"Danville city, Virginia",33276
51595,"Emporia city, Virginia",4183
51600,"Fairfax city, Virginia",18995
51610,"Falls Church city, Virginia",10819
51620,"Franklin city, Virginia",6318
51630,"Fredericksburg city, Virginia",23012
51640,"Galax city, Virginia",5383
51650,"Hampton city, Virginia",109643
51660,"Harrisonburg city, Virginia",45482
51670,"Hopewell city, Virginia",17302
51678,"Lexington city, Virginia",6606
51680,"Lynchburg city, Virginia",66433
51683,"Manassas city, Virginia",31506
51685,"Manassas Park city, Virginia",12640
51690,"Martinsville city, Virginia",10183
51700,"Newport News city, Virginia",142166
51710,"Norfolk city, Virginia",201428
51720,"Norton city, Virginia",3112
51730,"Petersburg city, Virginia",25609
51735,"Poquoson city, Virginia",9880
51740,"Portsmouth city, Virginia",75069
51750,"Radford city, Virginia",16037
51760,"Richmond city, Virginia",187419
51770,"Roanoke city, Virginia",79627
51775,"Salem city, Virginia",21168
51790,"Staunton city, Virginia",20312
51800,"Suffolk city, Virginia",69571
51810,"Virginia Beach city, Virginia",360313
51820,"Waynesboro city, Virginia",17265
51830,"Williamsburg city, Virginia",13418
51840,"Winchester city, Virginia",22195
